id,text,document_id,location_id,sentence_id
5709,Salisbury Crags,7,1445,5709
5713,Calton Hill,7,188,5713
5715,Holyrood,7,185,5715
5716,Calton Hill,7,188,5716
5717,Parliament Hall,7,1461,5717
5718,Mons Meg,7,219,5718
5720,New Town,7,210,5720
5721,Water of Leith,7,253,5721
5722,Arthur's Seat,7,1202,5722
5723,Calton Hill,7,188,5723
5724,Old Town,7,90,5724
5725,Arthur's Seat,7,1202,5725
5726,Leith,7,212,5726
5727,Granton,7,211,5727
5728,Edinburgh,7,91,5728
5732,Firth of Forth,7,189,5732
5734,Princes Street,7,567,5734
5735,Princes Street,7,567,5735
5738,New Town,7,210,5738
5739,Princes Street,7,567,5739
5742,Calton Hill,7,188,5742
5744,Waterloo Place,7,1469,5744
5745,Princes Street,7,567,5745
5746,Calton Hill,7,188,5746
5748,Princes Street,7,567,5748
5749,Nor' Loch,7,1443,5749
5750,Old Town,7,90,5750
5751,Holyrood,7,185,5751
5752,Old Town,7,90,5752
5753,North Bridge,7,227,5753
5754,Calton Hill,7,188,5754
5755,Princes Street,7,567,5755
5756,High Street,7,205,5756
5762,Waverley Bridge,7,1473,5762
5765,Princes Street,7,567,5765
5767,East Princes Street Gardens,7,1475,5767
5768,West Princes Street Gardens,7,1476,5768
5769,Scott Monument,7,204,5769
5792,West Princes Street Gardens,7,1476,5792
5793,Edinburgh,7,91,5793
5794,Princes Street,7,567,5794
5795,Princes Street,7,567,5795
5800,Princes Street,7,567,5800
5801,Calton Hill,7,188,5801
5804,Princes Street,7,567,5804
5805,Princes Street,7,567,5805
5806,Princes Street,7,567,5806
5807,Princes Street,7,567,5807
5808,Old Town,7,90,5808
5809,Princes Street,7,567,5809
5810,Edinburgh,7,91,5810
5811,Princes Street,7,567,5811
5812,Princes Street,7,567,5812
5813,Romanes and Paterson,7,1486,5813
5815,Newhaven,7,1487,5815
5821,Newhaven,7,1487,5821
5822,Princes Street,7,567,5822
5823,Calton Hill,7,188,5823
5826,Firth of Forth,7,189,5826
5827,Musselburgh,7,1108,5827
5828,Granton,7,211,5828
5829,Leith,7,212,5829
5830,Musselburgh,7,1108,5830
5833,Fisherrow,7,1492,5833
5834,Newhaven,7,1487,5834
5835,Portobello,7,1200,5835
5836,Portobello,7,1200,5836
5837,Edinburgh,7,91,5837
5840,Portobello,7,1200,5840
5841,Princes Street,7,567,5841
5842,Portobello,7,1200,5842
5843,Portobello,7,1200,5843
5844,Portobello,7,1200,5844
5845,Portobello,7,1200,5845
5847,Portobello,7,1200,5847
5848,Portobello,7,1200,5848
5849,Portobello,7,1200,5849
5850,Leith,7,212,5850
5852,Firth of Forth,7,189,5852
5853,Holyrood,7,185,5853
5854,Edinburgh,7,91,5854
5855,Holyrood,7,185,5855
5856,Leith,7,212,5856
5857,Granton,7,211,5857
5858,Newhaven,7,1487,5858
5859,Newhaven,7,1487,5859
5860,Newhaven,7,1487,5860
5861,Musselburgh,7,1108,5861
5862,Musselburgh,7,1108,5862
5863,Fisherrow,7,1492,5863
5864,Newhaven,7,1487,5864
5866,Edinburgh,7,91,5866
5870,Newhaven,7,1487,5870
5872,Edinburgh,7,91,5872
5873,Newhaven,7,1487,5873
5876,Newhaven,7,1487,5876
5877,Newhaven,7,1487,5877
5878,Auld Reekie,7,186,5878
5879,Newhaven,7,1487,5879
5880,Newhaven,7,1487,5880
5881,Leith,7,212,5881
5882,Canonmills,7,1497,5882
5883,Newhaven,7,1487,5883
5884,Edinburgh,7,91,5884
5885,Newhaven,7,1487,5885
5886,Edinburgh,7,91,5886
5887,Newhaven,7,1487,5887
5888,Newhaven,7,1487,5888
5889,Register House,7,1498,5889
5890,Princes Street,7,567,5890
5891,Leith,7,212,5891
5893,Newhaven,7,1487,5893
5895,Newhaven,7,1487,5895
5898,Edinburgh,7,91,5898
5900,Prestonpans,7,1199,5900
5902,Newhaven,7,1487,5902
5903,Newhaven,7,1487,5903
5904,Newhaven,7,1487,5904
5905,Newhaven,7,1487,5905
5906,Edinburgh,7,91,5906
5907,Newhaven,7,1487,5907
5909,Newhaven,7,1487,5909
5910,Newhaven,7,1487,5910
5912,Newhaven,7,1487,5912
5913,Fisherrow,7,1492,5913
5914,Edinburgh,7,91,5914
5915,Leith,7,212,5915
5916,Fisherrow,7,1492,5916
5917,Newhaven,7,1487,5917
5918,Newhaven,7,1487,5918
5919,Edinburgh,7,91,5919
5920,Newhaven,7,1487,5920
5921,Fisherrow,7,1492,5921
5922,Newhaven,7,1487,5922
5924,North Leith,7,1501,5924
5925,Newhaven,7,1487,5925
5932,Lasswade,7,1502,5932
5935,Lasswade,7,1502,5935
5936,Roslin,7,1166,5936
6060,Crichton,7,727,6060
6067,Roslin,7,1166,6067
6070,Roslin,7,1166,6070
6113,The George Hotel,7,1214,6113
6149,Old Tolbooth,7,1450,6149
6150,Roslin Chapel,7,1547,6150
6153,Linlithgow,7,1145,6153
6154,Heart of Midlothian,7,255,6154
6161,Roslin,7,1166,6161
6162,Lasswade,7,1502,6162
6165,Lasswade,7,1502,6165
6167,Roslin,7,1166,6167
6171,Roslin,7,1166,6171
6172,Lasswade,7,1502,6172
6173,Roslin,7,1166,6173
6174,Roslin,7,1166,6174
6175,Roslin,7,1166,6175
6176,Edinburgh,7,91,6176
6178,Roslin,7,1166,6178
6179,Edinburgh,7,91,6179
6180,Roslin,7,1166,6180
6181,Roslin,7,1166,6181
6182,Roslin,7,1166,6182
6183,Roslin,7,1166,6183
6184,Roslin,7,1166,6184
6185,Roslin,7,1166,6185
6187,Roslin,7,1166,6187
6188,Roslin,7,1166,6188
6189,Roslin,7,1166,6189
6190,Pentland,7,1549,6190
6192,Roslin,7,1166,6192
6197,Roslin,7,1166,6197
6199,Melville Castle,7,1553,6199
6201,Roslin,7,1166,6201
6205,Lasswade,7,1502,6205
6206,Roslin,7,1166,6206
6207,Roslin,7,1166,6207
6208,Roslin,7,1166,6208
6209,Roslin,7,1166,6209
6210,Roslin,7,1166,6210
6211,Roslin,7,1166,6211
6212,Roslin,7,1166,6212
6213,Roslin,7,1166,6213
6215,Roslin Chapel,7,1547,6215
6216,Roslin Chapel,7,1547,6216
6218,Roslin Chapel,7,1547,6218
6219,Roslin,7,1166,6219
6223,Advocates' Library,7,1558,6223
6224,Roslin Chapel,7,1547,6224
6225,Roslin,7,1166,6225
6228,Roslin,7,1166,6228
6229,Roslin Chapel,7,1547,6229
6231,Edinburgh,7,91,6231
6234,Roslin Chapel,7,1547,6234
6237,Roslin,7,1166,6237
6239,Roslin Chapel,7,1547,6239
6240,Roslin,7,1166,6240
6241,Roslin,7,1166,6241
6248,Roslin,7,1166,6248
6249,Roslin,7,1166,6249
6250,Roslin,7,1166,6250
6251,Roslin,7,1166,6251
6254,Roslin,7,1166,6254
6257,Roslin,7,1166,6257
6258,Roslin,7,1166,6258
6259,Roslin,7,1166,6259
6260,Roslin,7,1166,6260
6261,Pentland,7,1549,6261
6262,Roslin,7,1166,6262
6264,Pentland,7,1549,6264
6267,Pentland,7,1549,6267
6268,King's Hill,7,1565,6268
6269,Roslin,7,1166,6269
6271,Roslin Chapel,7,1547,6271
6272,Roslin,7,1166,6272
6273,Roslin Chapel,7,1547,6273
6274,Roslin Chapel,7,1547,6274
6275,Roslin,7,1166,6275
6277,Roslin Chapel,7,1547,6277
6279,Roslin,7,1166,6279
6281,Dalkeith,7,1101,6281
6282,Edinburgh,7,91,6282
